    244,        -10.5,          -3.,          -8.
    245,          -9.,          -3.,          -8.
    246,         -7.5,          -3.,          -8.
    247,          -6.,          -3.,          -8.
    248,         -4.5,          -3.,          -8.
    249,          -3.,          -3.,          -8.
    250,         -1.5,          -3.,          -8.
    251, 2.23517006e-07,          -3.,          -8.
    252,          1.5,          -3.,          -8.
    253,           3.,          -3.,          -8.
    254,          4.5,          -3.,          -8.
    255,           6.,          -3.,          -8.
    256,          7.5,          -3.,          -8.
    257,           9.,          -3.,          -8.
    258,         10.5,          -3.,          -8.
    259,          12.,          -3.,          -8.
    260,         13.5,          -3.,          -8.
    261,          15.,          -3.,          -8.
    262,         16.5,          -3.,          -8.
    263,          18.,          -3.,          -8.
    264,         19.5,          -3.,          -8.
    265,         -12.,         -1.5,          -8.
    266,        -10.5,         -1.5,          -8.
    267,          -9.,         -1.5,          -8.
    268,         -7.5,         -1.5,          -8.
    269,          -6.,         -1.5,          -8.
    270,         -4.5,         -1.5,          -8.
    271,          -3.,         -1.5,          -8.
    272,         -1.5,         -1.5,          -8.
    273, 2.23517006e-07,         -1.5,          -8.
    274,          1.5,         -1.5,          -8.
    275,           3.,         -1.5,          -8.
    276,          4.5,         -1.5,          -8.
    277,           6.,         -1.5,          -8.
    278,          7.5,         -1.5,          -8.
    279,           9.,         -1.5,          -8.
    280,         10.5,         -1.5,          -8.
    281,          12.,         -1.5,          -8.
    282,         13.5,         -1.5,          -8.
    283,          15.,         -1.5,          -8.
    284,         16.5,         -1.5,          -8.
    285,          18.,         -1.5,          -8.
    286,         19.5,         -1.5,          -8.
    287,         -12., 7.15256022e-07,          -8.
    288,        -10.5, 7.15256022e-07,          -8.
    289,          -9., 7.15256022e-07,          -8.
    290,         -7.5, 7.15256022e-07,          -8.
    291,          -6., 7.15256022e-07,          -8.
    292,         -4.5, 7.15256022e-07,          -8.
    293,          -3., 7.15256022e-07,          -8.
    294,         -1.5, 7.15256022e-07,          -8.
    295, 2.23517006e-07, 7.15256022e-07,          -8.
    296,          1.5, 7.15256022e-07,          -8.
    297,           3., 7.15256022e-07,          -8.
    298,          4.5, 7.15256022e-07,          -8.
    299,           6., 7.15256022e-07,          -8.
    300,          7.5, 7.15256022e-07,          -8.
    301,           9., 7.15256022e-07,          -8.
    302,         10.5, 7.15256022e-07,          -8.
    303,          12., 7.15256022e-07,          -8.
    304,         13.5, 7.15256022e-07,          -8.
    305,          15., 7.15256022e-07,          -8.
    306,         16.5, 7.15256022e-07,          -8.
    307,          18., 7.15256022e-07,          -8.
    308,         19.5, 7.15256022e-07,          -8.
    309,         -12.,          1.5,          -8.
    310,        -10.5,          1.5,          -8.
    311,          -9.,          1.5,          -8.
    312,         -7.5,          1.5,          -8.
    313,          -6.,          1.5,          -8.
    314,         -4.5,          1.5,          -8.
    315,          -3.,          1.5,          -8.
    316,         -1.5,          1.5,          -8.
    317, 2.23517006e-07,          1.5,          -8.
    318,          1.5,          1.5,          -8.
    319,           3.,          1.5,          -8.
    320,          4.5,          1.5,          -8.
    321,           6.,          1.5,          -8.
    322,          7.5,          1.5,          -8.
    323,           9.,          1.5,          -8.
    324,         10.5,          1.5,          -8.
    325,          12.,          1.5,          -8.
    326,         13.5,          1.5,          -8.
    327,          15.,          1.5,          -8.
    328,         16.5,          1.5,          -8.
    329,          18.,          1.5,          -8.
    330,         19.5,          1.5,          -8.
    331,         -12.,           3.,          -8.
    332,        -10.5,           3.,          -8.
    333,          -9.,           3.,          -8.
    334,         -7.5,           3.,          -8.
    335,          -6.,           3.,          -8.
    336,         -4.5,           3.,          -8.
    337,          -3.,           3.,          -8.
    338,         -1.5,           3.,          -8.
    339, 2.23517006e-07,           3.,          -8.
    340,          1.5,           3.,          -8.
    341,           3.,           3.,          -8.
    342,          4.5,           3.,          -8.
    343,           6.,           3.,          -8.
    344,          7.5,           3.,          -8.
    345,           9.,           3.,          -8.
    346,         10.5,           3.,          -8.
    347,          12.,           3.,          -8.
    348,         13.5,           3.,          -8.
    349,          15.,           3.,          -8.
    350,         16.5,           3.,          -8.
    351,          18.,           3.,          -8.
    352,         19.5,           3.,          -8.
    353,         -12.,          4.5,          -8.
    354,        -10.5,          4.5,          -8.
    355,          -9.,          4.5,          -8.
    356,         -7.5,          4.5,          -8.
    357,          -6.,          4.5,          -8.
    358,         -4.5,          4.5,          -8.
    359,          -3.,          4.5,          -8.
    360,         -1.5,          4.5,          -8.
    361, 2.23517006e-07,          4.5,          -8.
    362,          1.5,          4.5,          -8.
    363,           3.,          4.5,          -8.
    364,          4.5,          4.5,          -8.
    365,           6.,          4.5,          -8.
    366,          7.5,          4.5,          -8.
    367,           9.,          4.5,          -8.
    368,         10.5,          4.5,          -8.
    369,          12.,          4.5,          -8.
    370,         13.5,          4.5,          -8.
    371,          15.,          4.5,          -8.
    372,         16.5,          4.5,          -8.
